Category,Front,Back
Exposure Principles,What primarily controls x-ray quantity?,mAs
Exposure Principles,What primarily controls beam energy and penetration?,kVp
X-Ray Production,What is thermionic emission?,Release of electrons from a heated filament.
X-Ray Production,Bremsstrahlung means:,Braking radiation.
X-Ray Production,Characteristic radiation requires what first?,An inner-shell vacancy.
Digital Imaging,Window level primarily controls:,Displayed brightness.
Digital Imaging,Window width primarily controls:,Displayed contrast.
Radiation Protection,Three basic radiation protection methods:,"Time, distance, and shielding."
Radiation Protection,ALARA stands for:,As Low As Reasonably Achievable.
Patient Care & Ethics,How many patient identifiers should generally be used?,At least two approved identifiers.
